ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
71950,71950,B5,G6350,S,95656698,3250384,+34.2565183,-093.7178363
71952,71952,B5,G6350,S,68114122,492983,+34.2765131,-093.8214354
73120,73120,B5,G6350,S,28678272,6539021,+35.5813161,-097.5736742
73121,73121,B5,G6350,S,25996181,54943,+35.5211182,-097.4395401
73122,73122,B5,G6350,S,8581569,89704,+35.5204840,-097.6134401
73127,73127,B5,G6350,S,31437191,452183,+35.4774218,-097.6531944
73128,73128,B5,G6350,S,17124103,29410,+35.4584819,-097.6623814
73129,73129,B5,G6350,S,32593582,0,+35.4314777,-097.4842815
71953,71953,B5,G6350,S,1655659861,8227092,+34.6080155,-094.1971930
73130,73130,B5,G6350,S,25775219,0,+35.4586326,-097.3456320
73131,73131,B5,G6350,S,31138120,55281,+35.5764578,-097.4692940
71956,71956,B5,G6350,S,60054187,5497079,+34.5986356,-093.1534376
73132,73132,B5,G6350,S,19359471,643082,+35.5534001,-097.6333255
73134,73134,B5,G6350,S,10697490,0,+35.6141680,-097.5684471
71957,71957,B5,G6350,S,362441689,33797607,+34.5650238,-093.5747012
73135,73135,B5,G6350,S,30020787,85272,+35.4002683,-097.4330755
73139,73139,B5,G6350,S,11344105,4186,+35.3863767,-097.5256886
71958,71958,B5,G6350,S,278736321,9489635,+34.1233523,-093.6646132
73141,73141,B5,G6350,S,27835440,36659,+35.5199621,-097.3944746
71959,71959,B5,G6350,S,158572771,577341,+34.2431655,-093.9315844
73142,73142,B5,G6350,S,25326159,423791,+35.6165977,-097.6453212
94133,94133,B5,G6350,S,1955595,646917,+37.8045315,-122.4108520
94134,94134,B5,G6350,S,6218001,90877,+37.7210530,-122.4135730
94158,94158,B5,G6350,S,1703879,1342698,+37.7681061,-122.3869269
94301,94301,B5,G6350,S,6141695,0,+37.4441310,-122.1499165
94303,94303,B5,G6350,S,20614896,1892246,+37.4578797,-122.1151577
94304,94304,B5,G6350,S,16836589,36477,+37.3747017,-122.1816956
94305,94305,B5,G6350,S,13281876,117653,+37.4182561,-122.1708709
94306,94306,B5,G6350,S,10848432,0,+37.4157295,-122.1307644
94401,94401,B5,G6350,S,8149356,2787266,+37.5769477,-122.3169034
94402,94402,B5,G6350,S,12595920,0,+37.5236020,-122.3449203
94403,94403,B5,G6350,S,14584959,433427,+37.5384494,-122.3054470
94404,94404,B5,G6350,S,11134922,1454607,+37.5559985,-122.2676793
94501,94501,B5,G6350,S,20513096,9031622,+37.7737930,-122.2781151
94502,94502,B5,G6350,S,6942426,3081432,+37.7375722,-122.2455071
94503,94503,B5,G6350,S,33523585,6954858,+38.1863204,-122.2636108
94505,94505,B5,G6350,S,44506972,11559029,+37.8716803,-121.5970660
94506,94506,B5,G6350,S,48534843,25221,+37.8096767,-121.9131406
94507,94507,B5,G6350,S,32904276,0,+37.8504099,-122.0211231
42440,42440,B5,G6350,S,2586718,5933,+37.2407268,-087.4646023
48801,48801,B5,G6350,S,185047202,1592177,+43.3741008,-084.6776078
42441,42441,B5,G6350,S,154332519,3164935,+37.3626476,-087.6685288
39563,39563,B5,G6350,S,52761466,4212722,+30.4217495,-088.5230818
48806,48806,B5,G6350,S,167516581,863506,+43.1868911,-084.5001610
42442,42442,B5,G6350,S,158272409,2021432,+37.1671029,-087.4883932
48807,48807,B5,G6350,S,72358511,64608,+43.1504763,-084.4020062
48808,48808,B5,G6350,S,63781280,6382766,+42.8288357,-084.4447756
48809,48809,B5,G6350,S,212465895,7290400,+43.0752987,-085.2579615
42445,42445,B5,G6350,S,686337515,6739405,+37.1333391,-087.8517396
39564,39564,B5,G6350,S,137509885,15055140,+30.4047703,-088.7712286
48811,48811,B5,G6350,S,162738422,540878,+43.1814983,-084.8537354
42450,42450,B5,G6350,S,154363466,4010672,+37.3958701,-087.7634021
39565,39565,B5,G6350,S,722438728,7243312,+30.5870947,-088.7444625
42451,42451,B5,G6350,S,102369053,14667524,+37.8845326,-087.3907071
42452,42452,B5,G6350,S,138739179,1891238,+37.6865115,-087.5316717
42453,42453,B5,G6350,S,42396017,600179,+37.1578560,-087.5907124
39567,39567,B5,G6350,S,34441838,2697209,+30.3654461,-088.5401151
48813,48813,B5,G6350,S,439792362,1332303,+42.5797748,-084.8458912
42455,42455,B5,G6350,S,197698997,2898341,+37.5933753,-087.5425510
48815,48815,B5,G6350,S,71132415,658959,+42.8343711,-085.2585846
48816,48816,B5,G6350,S,1196194,736,+42.7650090,-083.9559809
42456,42456,B5,G6350,S,173078627,1365889,+37.5077055,-087.4960966
42458,42458,B5,G6350,S,42676188,1612577,+37.8395629,-087.4209423
48817,48817,B5,G6350,S,153064280,1071897,+43.0139493,-084.0428844
48818,48818,B5,G6350,S,65435026,4792424,+43.2746033,-084.8851123
42459,42459,B5,G6350,S,312923174,10098432,+37.5668063,-088.0190479
95834,95834,B5,G6350,S,25884194,699661,+38.6352119,-121.5186075
95835,95835,B5,G6350,S,23201634,137009,+38.6706486,-121.5259826
95837,95837,B5,G6350,S,46722265,1087684,+38.6937652,-121.5989408
95838,95838,B5,G6350,S,23488997,12257,+38.6457235,-121.4452544
95841,95841,B5,G6350,S,10556565,0,+38.6603703,-121.3473936
95842,95842,B5,G6350,S,10144293,0,+38.6868098,-121.3491442
95843,95843,B5,G6350,S,16701380,0,+38.7154634,-121.3634219
95864,95864,B5,G6350,S,16609249,235040,+38.5840466,-121.3758456
95901,95901,B5,G6350,S,508952354,4142042,+39.2239387,-121.4940499
95903,95903,B5,G6350,S,37740908,25614,+39.1060986,-121.3681796
95910,95910,B5,G6350,S,88769695,4207,+39.4911263,-120.8172323
95912,95912,B5,G6350,S,467604011,744186,+39.0167022,-122.0621433
95914,95914,B5,G6350,S,37956865,0,+39.4490043,-121.3305213
95915,95915,B5,G6350,S,58437116,52058,+40.0062561,-121.1588944
37351,37351,B5,G6350,S,1185513,204904,+35.1002851,-085.2603629
37352,37352,B5,G6350,S,128409572,2309055,+35.2775203,-086.3530268
33597,33597,B5,G6350,S,340531482,18275173,+28.5455315,-082.0805317
37353,37353,B5,G6350,S,95298014,13440,+35.1150099,-084.9890965
33598,33598,B5,G6350,S,280310022,3000433,+27.6934231,-082.2846591
37354,37354,B5,G6350,S,298738579,1568587,+35.5063288,-084.3473845
33602,33602,B5,G6350,S,6602453,934943,+27.9535304,-082.4571128
33603,33603,B5,G6350,S,10711559,250888,+27.9856178,-082.4644389
37355,37355,B5,G6350,S,562919286,7606487,+35.4997867,-086.0838331
33604,33604,B5,G6350,S,19279484,1122586,+28.0171543,-082.4553503
37356,37356,B5,G6350,S,62612335,128016,+35.2288775,-085.8236940
37357,37357,B5,G6350,S,363908990,77359,+35.5852879,-085.9173400
